iter	Logloss
0	0.6682299126
1	0.6466567944
2	0.6272582734
3	0.607435102
4	0.5897116583
5	0.5747465399
6	0.5593231955
7	0.544959408
8	0.53072614
9	0.5198706789
10	0.5101883889
11	0.5036205975
12	0.4975847175
13	0.4914615363
14	0.4841964893
15	0.4761833553
16	0.4695893997
17	0.4630140369
18	0.4589497733
19	0.454481361
20	0.4505096851
21	0.4465936521
22	0.4414217489
23	0.4385380699
24	0.4349893875
25	0.4324841184
26	0.4293928837
27	0.4272207027
28	0.4247571596
29	0.4229205879
30	0.4203525991
31	0.4187212893
32	0.4160468742
33	0.4138530804
34	0.41150123
35	0.4099631077
36	0.4079866162
37	0.4063487765
38	0.404212193
39	0.4025499896
40	0.4013797521
41	0.3999020372
42	0.3986178354
43	0.3972360939
44	0.3959536369
45	0.3946225164
46	0.393476848
47	0.3926215517
48	0.3910039108
49	0.3897152156
50	0.3879156566
51	0.387076994
52	0.3860789681
53	0.38503252
54	0.3836602525
55	0.382950171
56	0.3817932521
57	0.3800873716
58	0.379254882
59	0.3783056217
60	0.3774899178
61	0.3768194819
62	0.3759196527
63	0.3751997835
64	0.374436624
65	0.3739319764
66	0.3732966886
67	0.3728451224
68	0.371940323
69	0.3710426303
70	0.3700563984
71	0.3694118463
72	0.3687597045
73	0.3678337291
74	0.3672394052
75	0.366529442
76	0.3657318712
77	0.3651654282
78	0.364597817
79	0.3640947282
80	0.3632309731
81	0.3625116542
82	0.3619560312
83	0.3611302316
84	0.360536492
85	0.3599241882
86	0.359396714
87	0.3581002517
88	0.3576855107
89	0.3573464633
90	0.3568688402
91	0.3562087986
92	0.3557260524
93	0.3550466636
94	0.3545434886
95	0.3540449662
96	0.3531986864
97	0.3527603258
98	0.3522278224
99	0.3517800044
100	0.3508661951
101	0.3505628046
102	0.3500777244
103	0.3495533291
104	0.3491295999
105	0.3487222328
106	0.348112815
107	0.3477125336
108	0.3469955
109	0.3466525016
110	0.3460741351
111	0.3456418585
112	0.3449997017
113	0.3445548446
114	0.3442709559
115	0.3436134305
116	0.3429920481
117	0.3423668375
118	0.3418708583
119	0.3412429879
120	0.3406106802
121	0.3399624741
122	0.3397131736
123	0.3390674142
124	0.3386910085
125	0.3383483239
126	0.3376319845
127	0.3371881711
128	0.3367511433
129	0.3362199653
130	0.3356896691
131	0.3350440224
132	0.3344245953
133	0.3340659822
134	0.33336564
135	0.3326551657
136	0.3323526237
137	0.3320594584
138	0.3318335921
139	0.3314178667
140	0.3311234736
141	0.3306793456
142	0.3301892944
143	0.3298827925
144	0.3295881759
145	0.3290996724
146	0.3286951116
147	0.3279460191
148	0.3276373815
149	0.3272913209
150	0.3268421627
151	0.3264966655
152	0.3260356597
153	0.3257521107
154	0.3252840756
155	0.3250143155
156	0.3246885565
157	0.3241169149
158	0.3237287586
159	0.3232810276
160	0.3230614065
161	0.322823639
162	0.3224450196
163	0.3218406608
164	0.3213808269
165	0.3209231589
166	0.3206599338
167	0.3203424944
168	0.3198770317
169	0.3192207721
170	0.3189429965
171	0.3183532376
172	0.317702893
173	0.3170589984
174	0.316472073
175	0.315719268
176	0.3154844369
177	0.315239803
178	0.3145705727
179	0.3138701414
180	0.3135776542
181	0.313124051
182	0.3127890941
183	0.3124115582
184	0.3120580828
185	0.3113956665
186	0.3109590328
187	0.3103626578
188	0.3101645473
189	0.3098535054
190	0.3092290728
191	0.3085100654
192	0.3081479951
193	0.3077023842
194	0.3070457639
195	0.306865404
196	0.3065069111
197	0.3058136929
198	0.3054028034
199	0.3048506871
